Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,18.9,18.9,18.9,18.9,18.9,18.9,18.9,19.7
Africa Eastern and Southern,AFE,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08686961,16.00302965,16.31178929,17.15573342,17.34846455,16.81575674,16.30242311,16.70429384,16.74037802,16.80901789,17.38826561,17.84888724
Afghanistan,AFG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.1,0.1,0.1,0.1,3.6,3.6,3.6,3.6,3.6
Africa Western and Central,AFW,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.16305521,15.15918924,15.14508776,15.4784258,15.68959922,15.69509041,15.71414459,15.76043674,15.86254655,15.8655396,15.8655396,15.64373269
Angola,AGO,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,7,7,7,7,7,7,7,7,7,10.7,10.8
Albania,ALB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,2.1,2.6,17.2,17.7,17.7,18.6,18.6,18.6,18.6,18.6,23.6
Andorra,AND,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,18.2,21.1,21.1,26.7,26.7,26.7,26.7,26.9,26.9,26.9,27.3
Arab World,ARB,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.659042834,11.7654446,9.408881828,5.110608991,5.229055746,5.233203494,4.977070237,3.596790718,3.552994438,3.553343142,5.218199326,6.152623355
United Arab Emirates,ARE,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,18.6,18.6,13.1,17.3,18,18,19.4,19.4,19.4,19.4,19.2
Argentina,ARG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.6,8.7,8.9,8.9,8.5,8.5,8.5,8.5,8.7,8.7,8.8
Armenia,ARM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,23.1,23.1,23.1,23.1,23.1,24.3,24.3,24.3,24.7,24.7,38.9
American Samoa,ASM,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,4,4,15.8,15.8,15.8,15.8,0.8,15.8,15.8,16.7,16.4
Antigua and Barbuda,ATG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19.3,19.3,19.3,18.6,18.6,18.6,21,19.9,19.9,19.9,16.5
Australia,AUS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,14.6,14.7,17,19.3,19.3,19.4,20.3,20.4,20.4,20.4,22
Austria,AUT,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,28.3,28.4,27.6,28.4,28.4,28.4,29.1,29.3,29.5,29.5,29.6
Azerbaijan,AZE,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,22.1
Burundi,BDI,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,7,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6,7.6
Belgium,BEL,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,22.8,22.8,23.3,23.3,23.3,24.9,15.4,15.5,15.6,15.6,16.3
Benin,BEN,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,29.6,28.9,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.6,29.7
Burkina Faso,BFA,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,15.8,15.8,15.1,14.9,14.9,14.9,16.4,16.4,16.4,16.4,16.5
Bangladesh,BGD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.2
Bulgaria,BGR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.2,40.6,40.6,34.7,34.7,34.7,40.6,41,41,41,41,44.3
Bahrain,BHR,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,17.8,6.6,6.6,6.6,6.6,6.6,6.6,6.6,13,13,11.7
"Bahamas, The",BHS,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,13.3,31.2,31.2,36.6,36.6,36.6,36.6,36.6,36.6,36.6,34.6
