Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,7/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.80641,26.58060201,28.53309913,38.21337389,62.54294918,46.81596081,40.87787432,57.63461509,48.58619013,22.54741197,19.16486203,17.65771012,18.17059761,19.1510509,35.04185808,68.72600349,19.79269464,44.81109161,69.76637632,70.71074117,67.92343961,74.94281704,80.45412502,79.59286937,82.32840759,74.58677743,,,,
Africa Eastern and Southern,AFE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.719071581,10.04987987,11.03756123,12.25826283,12.20403008,9.68641367,10.84051653,11.28015855,13.60072412,12.77602907,11.16360878,10.28888976,9.627788152,7.845620684,9.588603262,8.708755035,7.97464818,8.966050079,8.8720378,9.592057412,10.87010047,11.06206099,10.67578946,10.58515244,11.54563982,,,,,
Afghanistan,AFG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.074576293,4.216855428,5.728735463,5.396046735,7.170886995,12.94098947,6.09459211,6.0678732,5.457683032,1.387809422,3.106608835,5.607752558,5.080247724,,,,
Africa Western and Central,AFW,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.662008351,4.112126191,4.700187639,6.851852089,3.97447599,3.241123279,3.736219703,4.37621316,3.747060209,2.983922234,2.781598369,3.083954984,3.133958148,2.994417154,3.467057344,2.508371519,2.292720756,2.389751913,2.563382425,2.780481469,3.366181073,4.841612537,5.618104547,4.65454667,4.229283509,,,,,
Angola,AGO,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.703902592,0.708603698,0.466445105,1.064207166,0.583858021,0.415242324,0.519532955,0.59756194,0.648865067,0.594298944,0.424108521,0.272892459,0.527882655,0.456078041,1.336513078,1.411031258,0.959693702,0.989241065,1.78401432,2.624433321,3.400383362,2.219099526,2.483283115,1.345771733,1.122792484,0.090457043,,,,
Albania,ALB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.04906157,25.20783052,34.21211511,43.75410195,55.96919127,71.77637511,68.52020662,73.74321772,63.41740743,60.48882102,60.24210796,56.53711425,60.01474923,56.35852031,65.75784538,53.48460236,48.53889723,45.64665762,45.13229832,49.54149643,51.96444312,52.93792043,49.47156282,48.19516798,50.97062306,35.9164178,,,,
Andorra,AND,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.80221608,,,,,
Arab World,ARB,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.08962446,,,,6.883044889,5.773252993,8.603580702,8.110145863,5.319813449,5.420687818,5.246849362,6.110158372,9.383090096,10.73691577,10.90603652,9.502544213,11.22533877,,,,,
United Arab Emirates,ARE,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21780678,10.4662293,10.16973049,10.72755076,11.34037167,10.22828105,8.856965228,5.906141906,6.715981269,6.690603601,6.843354152,7.199902644,7.607116078,6.463307133,6.715850377,6.909259852,6.20590596,6.005464449,5.801929549,6.897874143,7.770352221,7.657109367,7.860524841,7.776450365,7.07063914,2.641329466,,,,
