STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,COMP_BREAKDOWN_1_ID,COMP_BREAKDOWN_1_NAME,COMP_BREAKDOWN_2_ID,COMP_BREAKDOWN_2_NAME,COMP_BREAKDOWN_3_ID,COMP_BREAKDOWN_3_NAME,TIME_PERIOD,OBS_VALUE,AGG_METHOD_ID,AGG_METHOD_NAME,DECIMALS_ID,DECIMALS_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,COMMENT_TS,UNIT_MULT_ID,UNIT_MULT_NAME,DATA_SOURCE_ID,DATA_SOURCE_NAME,UNIT_TYPE_ID,UNIT_TYPE_NAME,TIME_FORMAT_ID,TIME_FORMAT_NAME,COMMENT_OBS,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFE,Africa Eastern and Southern,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,11583544.71,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,AFW,Africa Western and Central,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,2670705.934,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CSS,Caribbean small states,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,8608436.645,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,CEB,Central Electricity Board (CEB),WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,188652644.9,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAR,Early-demographic dividend,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,163202805.6,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAS,East Asia & Pacific,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,112957455.3,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,EAP,East Asia & Pacific (excluding high income),WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,70697672.63,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,TEA,East Asia & Pacific (IDA & IBRD),WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,69853349.84,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECS,Europe & Central Asia,WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,610098798.4,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ECA,Europe & Central Asia (excluding high income),WB_WDI_ST_INT_ARVL,"International tourism, number of arrivals",_T,Total,_T,All age ranges or no breakdown by age,_T,Total,ARRVL,Arrivals,_Z,Not Applicable,_Z,Not Applicable,_Z,Not Applicable,1995,41254640.85,_Z,Not Applicable,2,Two,WB_WDI,World Development Indicators (WDI),"International tourism, number of arrivals",0,Units,WB_WDI,World Development Indicators (WDI),COUNT,Count (Integer),P1Y,Annual,,A,Normal value,PU,Public
