Country Name,Country Code,Year,Value
World,WLD,2017,4584.0
Aruba,ABW,2018,2.0
Africa Eastern and Southern,AFE,2018,655.0
Afghanistan,AFG,2018,16.0
Africa Western and Central,AFW,2018,338.0
Angola,AGO,2018,32.0
Albania,ALB,2018,8.0
Andorra,AND,2018,3.0
Arab World,ARB,2018,319.0
United Arab Emirates,ARE,2018,13.0
Argentina,ARG,2018,52.0
Armenia,ARM,2018,14.0
American Samoa,ASM,2018,8.0
Antigua and Barbuda,ATG,2018,3.0
Australia,AUS,2018,52.0
Austria,AUT,2018,13.0
Azerbaijan,AZE,2018,17.0
Burundi,BDI,2018,15.0
Belgium,BEL,2018,8.0
Benin,BEN,2018,12.0
Burkina Faso,BFA,2018,12.0
Bangladesh,BGD,2018,36.0
Bulgaria,BGR,2018,17.0
Bahrain,BHR,2018,7.0
"Bahamas, The",BHS,2018,10.0
Bosnia and Herzegovina,BIH,2018,7.0
Belarus,BLR,2018,9.0
Belize,BLZ,2018,6.0
Bermuda,BMU,2018,3.0
Bolivia,BOL,2018,55.0
Brazil,BRA,2018,175.0
Barbados,BRB,2018,4.0
Brunei Darussalam,BRN,2018,31.0
Bhutan,BTN,2018,21.0
Botswana,BWA,2018,16.0
Central African Republic,CAF,2018,16.0
Canada,CAN,2018,24.0
Central Europe and the Baltics,CEB,2018,133.0
Switzerland,CHE,2018,9.0
Chile,CHL,2018,35.0
China,CHN,2018,96.0
Cote d'Ivoire,CIV,2018,25.0
Cameroon,CMR,2018,29.0
"Congo, Dem. Rep.",COD,2018,42.0
"Congo, Rep.",COG,2018,7.0
Colombia,COL,2018,126.0
Comoros,COM,2018,14.0
Cabo Verde,CPV,2018,7.0
Costa Rica,CRI,2018,27.0
Caribbean small states,CSS,2018,76.0
Cuba,CUB,2018,19.0
Curacao,CUW,2018,2.0
Cayman Islands,CYM,2018,3.0
Cyprus,CYP,2018,7.0
Czechia,CZE,2018,9.0
Germany,DEU,2018,11.0
Djibouti,DJI,2018,12.0
Dominica,DMA,2018,7.0
Denmark,DNK,2018,9.0
Dominican Republic,DOM,2018,17.0
Algeria,DZA,2018,15.0
East Asia & Pacific (excluding high income),EAP,2018,820.0
Early-demographic dividend,EAR,2018,1792.0
East Asia & Pacific,EAS,2018,1224.0
Europe & Central Asia (excluding high income),ECA,2018,251.0
Europe & Central Asia,ECS,2018,678.0
Ecuador,ECU,2018,106.0
"Egypt, Arab Rep.",EGY,2018,14.0
Euro area,EMU,2018,227.0
Eritrea,ERI,2018,21.0
Spain,ESP,2018,19.0
Estonia,EST,2018,9.0
Ethiopia,ETH,2018,35.0
European Union,EUU,2018,314.0
Fragile and conflict affected situations,FCS,2018,733.0
Finland,FIN,2018,11.0
Fiji,FJI,2018,14.0
France,FRA,2018,16.0
Faroe Islands,FRO,2018,6.0
"Micronesia, Fed. Sts.",FSM,2018,12.0
Gabon,GAB,2018,7.0
United Kingdom,GBR,2018,11.0
Georgia,GEO,2018,14.0
Ghana,GHA,2018,23.0
Gibraltar,GIB,2018,6.0
Guinea,GIN,2018,20.0
"Gambia, The",GMB,2018,14.0
Guinea-Bissau,GNB,2018,12.0
Equatorial Guinea,GNQ,2018,6.0
Greece,GRC,2018,17.0
Grenada,GRD,2018,2.0
Greenland,GRL,2018,6.0
Guatemala,GTM,2018,17.0
Guam,GUM,2018,14.0
Guyana,GUY,2018,16.0
High income,HIC,2018,1236.0
"Hong Kong SAR, China",HKG,2018,21.0
Honduras,HND,2018,14.0
Heavily indebted poor countries (HIPC),HPC,2018,823.0
Croatia,HRV,2018,14.0
Haiti,HTI,2018,17.0
Hungary,HUN,2018,13.0
IBRD only,IBD,2018,2236.0
IDA & IBRD total,IBT,2018,3651.0
IDA total,IDA,2018,1415.0
IDA blend,IDB,2018,311.0
Indonesia,IDN,2018,160.0
IDA only,IDX,2018,1104.0
Isle of Man,IMN,2018,0.0
India,IND,2018,93.0
Ireland,IRL,2018,9.0
"Iran, Islamic Rep.",IRN,2018,28.0
Iraq,IRQ,2018,17.0
Iceland,ISL,2018,7.0
Israel,ISR,2018,18.0
